0,10000,14083,2388,-299,-4.9,2217,2199,-0.2,1.59
1,9998,24083,2347,-322,-1.8,2371,2177,-3.2,8.9
2,10001,34081,2282,-105,-3.4,2287,2190,-1.5,6.0
3,10000,44082,2209,-29,-0.1,2346,2181,-2.2,7.06
4,9997,54082,2323,-409,-3.9,2383,2171,-3.7,7.45
5,9999,64079,2241,-591,-5.5,2191,2182,-6.6,8.62
6,9999,74078,2253,-648,-3.2,2266,2198,-2.1,3.81
7,9998,84077,2208,-226,-3.2,2353,2171,-0.2,5.2
8,10000,94075,2221,-239,-2.1,2350,2186,-4.6,4.4
9,9998,104075,2285,-2,-3.1,2322,2185,-4.7,1.56
10,9998,114073,2234,-1209,-0.7,2301,2177,-2.9,4.62
11,9998,124071,2279,-1066,-4.4,2173,2173,-6.5,8.48
12,9999,134069,2234,-324,-2.2,2233,2176,-6.0,5.88
13,10000,144068,2227,-1089,-3.7,2261,2174,-4.9,2.57
14,10001,154068,2293,-586,-0.6,2239,2171,-5.0,7.11
15,10000,164069,2174,-1157,-1.0,2295,2187,-1.1,4.98
16,9998,174069,2211,-176,-5.5,2353,2183,-1.2,9.81
17,10000,184067,2213,-1187,-6.7,2226,2183,-0.0,4.61
18,9997,194067,2336,-378,-2.7,2227,2175,-3.8,3.04
19,9997,204064,2371,-989,-2.1,2359,2191,-2.7,8.12
20,9998,214061,2302,-328,-4.5,2194,2186,-0.2,8.87
21,9997,224059,2311,-1086,-6.9,2290,2190,-5.0,2.26
22,9999,234056,2276,-503,-5.1,2386,2193,-2.3,5.87
23,10001,244055,2319,-1138,-4.2,2321,2182,-3.3,6.0
24,9999,254056,2235,-1258,-6.7,2254,2175,-2.6,6.06
25,9999,264055,2375,-1050,-7.0,2200,2188,-4.7,2.36
26,9998,274054,2288,-1274,-5.1,2368,2193,-0.2,5.52
27,10000,284052,2326,-620,-6.2,2250,2191,-6.8,0.17
28,9998,294052,2327,-469,-0.7,2189,2182,-3.1,2.15
29,10000,304050,2216,-1210,-1.6,2180,2173,-5.1,7.46
30,9998,314050,2358,-378,-5.3,2262,2185,-4.1,1.71
31,9999,324048,2397,-31,-0.6,2245,2172,-6.9,4.46
32,9998,334047,2191,-495,-3.2,2269,2179,-2.9,0.77
33,9998,344045,2274,-729,-5.3,2226,2192,-4.7,2.61
34,9999,354043,2215,-909,-5.3,2278,2195,-2.2,3.22
35,9999,364042,2363,-1081,-1.0,2264,2177,-1.0,1.41
36,9999,374041,2229,-17,-2.7,2255,2189,-1.0,8.13
37,9997,384040,2240,-911,-3.8,2194,2179,-3.6,9.06
38,9997,394037,2233,-760,-2.8,2302,2175,-0.3,9.29
39,10000,404034,2192,-1139,-1.6,2214,2172,-2.6,4.39
40,9999,414034,2341,-487,-3.8,2293,2183,-4.3,4.63
41,9999,424033,2226,-950,-5.5,2376,2197,-6.1,3.96
42,10000,434032,2201,-1190,-3.2,2223,2198,-2.2,7.15
43,9999,444032,2247,-992,-1.0,2222,2190,-1.5,7.63
44,9998,454031,2311,-545,-0.2,2292,2182,-4.7,1.56
45,9999,464029,2261,-866,-5.4,2254,2171,-6.8,4.8
46,9998,474028,2337,-602,-4.4,2372,2178,-2.9,3.25
47,9998,484026,2397,-818,-0.9,2177,2172,-4.7,1.88
48,10001,494024,2189,-521,-5.0,2279,2172,-1.8,2.44
49,10001,504025,2324,-647,-1.8,2326,2170,-1.8,3.13
50,9998,514026,2293,-528,-5.0,2218,2178,-0.0,3.16
51,9998,524024,2320,-644,-0.0,2185,2177,-0.4,5.53
52,9998,534022,2370,-1263,-4.1,2276,2200,-6.8,1.52
53,9999,544020,2329,-1257,-5.7,2349,2173,-2.5,1.02
54,9997,554019,2257,-264,-1.6,2315,2171,-5.8,3.79
55,9999,564016,2398,-1035,-1.2,2334,2180,-3.6,1.57
56,10000,574015,2211,-28,-1.1,2378,2174,-1.2,9.32
