1 , 2185 , 10003 , 14074 , -2 , -0.20
2 , 2185 , 9999 , 24073 , -30 , -2.80
3 , 2185 , 10001 , 34074 , -65 , -3.50
4 , 2185 , 10000 , 44074 , -98 , -3.30
5 , 2185 , 10001 , 54075 , -129 , -3.10
6 , 2185 , 9999 , 64074 , -157 , -2.80
7 , 2185 , 10000 , 74074 , -183 , -2.60
8 , 2185 , 9999 , 84073 , -208 , -2.50
9 , 2185 , 10001 , 94074 , -236 , -2.80
10 , 2185 , 10000 , 104074 , -265 , -2.90
11 , 2185 , 10000 , 114074 , -298 , -3.30
12 , 2185 , 9999 , 124073 , -333 , -3.50
13 , 2185 , 10003 , 134076 , -369 , -3.60
14 , 2185 , 9998 , 144074 , -409 , -4.00
15 , 2205 , 9999 , 154073 , -452 , -4.30
16 , 2205 , 10001 , 164074 , -505 , -5.30
17 , 2205 , 10000 , 174074 , -568 , -6.30
18 , 2205 , 9999 , 184073 , -644 , -7.60
19 , 2205 , 10001 , 194074 , -731 , -8.70
20 , 2205 , 10000 , 204074 , -828 , -9.70
21 , 2205 , 10000 , 214074 , -932 , -10.40
22 , 2205 , 9999 , 224073 , -1044 , -11.20
23 , 2205 , 10001 , 234074 , -1166 , -12.20
24 , 2205 , 10000 , 244074 , -1294 , -12.80
25 , 2205 , 10000 , 254074 , -1431 , -13.70
26 , 2205 , 10002 , 264076 , -1579 , -14.80
27 , 2205 , 9998 , 274074 , -1732 , -15.30
28 , 2205 , 10000 , 284074 , -1890 , -15.80
29 , 2205 , 10002 , 294076 , -2053 , -16.30
30 , 2205 , 9998 , 304074 , -2210 , -15.70
31 , 2205 , 10000 , 314074 , -2363 , -15.30
32 , 2205 , 10000 , 324074 , -2515 , -15.20
33 , 2205 , 10000 , 334074 , -2669 , -15.40
34 , 2205 , 9999 , 344073 , -2825 , -15.60
35 , 2205 , 10001 , 354074 , -2985 , -16.00
36 , 2205 , 10000 , 364074 , -3149 , -16.40
37 , 2205 , 10000 , 374074 , -3320 , -17.10
38 , 2205 , 10000 , 384074 , -3499 , -17.90
39 , 2205 , 10000 , 394074 , -3682 , -18.30
40 , 2205 , 10000 , 404074 , -3862 , -18.00
41 , 2205 , 10000 , 414074 , -4045 , -18.30
42 , 2205 , 9999 , 424073 , -4237 , -19.20
43 , 2205 , 10001 , 434074 , -4438 , -20.10
44 , 2205 , 10000 , 444074 , -4645 , -20.70
45 , 2205 , 10000 , 454074 , -4848 , -20.30
46 , 2205 , 9999 , 464073 , -5044 , -19.60
47 , 2205 , 10003 , 474076 , -5242 , -19.79
48 , 2205 , 9997 , 484073 , -5455 , -21.31
49 , 2205 , 10001 , 494074 , -5690 , -23.50
50 , 2205 , 10000 , 504074 , -5944 , -25.40
51 , 2205 , 9999 , 514073 , -6223 , -27.90
52 , 2205 , 10002 , 524075 , -6516 , -29.29
53 , 2205 , 9999 , 534074 , -6828 , -31.20
54 , 2205 , 9999 , 544073 , -7165 , -33.70
55 , 2205 , 10000 , 554073 , -7521 , -35.60
56 , 2205 , 10000 , 564073 , -7890 , -36.90
57 , 2205 , 10000 , 574073 , -8266 , -37.60
58 , 2205 , 10001 , 584074 , -8613 , -34.70
