1,	10003,	14083,	2185,	-6,	-0.6,	2185,	-2,	-0.2,	8.39
2,	9999,	24082,	2185,	-41,	-3.5,	2185,	-30,	-2.8,	6.21
3,	10001,	34083,	2185,	-88,	-4.7,	2185,	-65,	-3.5,	1.09
4,	10000,	44083,	2185,	-124,	-3.6,	2185,	-98,	-3.3,	0.95
5,	9999,	54082,	2185,	-156,	-3.2,	2185,	-129,	-3.1,	6.23
6,	10000,	64082,	2185,	-181,	-2.5,	2185,	-157,	-2.8,	6.55
7,	10001,	74083,	2185,	-203,	-2.2,	2185,	-183,	-2.6,	6.95
8,	10000,	84083,	2185,	-218,	-1.5,	2185,	-208,	-2.5,	3.7
9,	10000,	94083,	2185,	-235,	-1.7,	2185,	-236,	-2.8,	3.96
10,	10000,	104083,	2185,	-249,	-1.4,	2185,	-265,	-2.9,	0.1
11,	10000,	114083,	2185,	-262,	-1.3,	2185,	-298,	-3.3,	0.86
12,	9999,	124082,	2185,	-272,	-1.0,	2185,	-333,	-3.5,	8.49
13,	10000,	134082,	2185,	-283,	-1.1,	2185,	-369,	-3.6,	2.06
14,	10001,	144083,	2185,	-291,	-0.8,	2185,	-409,	-4.0,	9.5
15,	9999,	154082,	2185,	-300,	-0.9,	2205,	-452,	-4.3,	6.11
16,	10000,	164082,	2185,	-309,	-0.9,	2205,	-505,	-5.3,	3.65
17,	10000,	174082,	2185,	-316,	-0.7,	2205,	-568,	-6.3,	8.71
18,	10001,	184083,	2185,	-325,	-0.9,	2205,	-644,	-7.6,	7.14
19,	9999,	194082,	2185,	-333,	-0.8,	2205,	-731,	-8.7,	4.28
20,	10000,	204082,	2195,	-339,	-0.6,	2205,	-828,	-9.7,	3.14
21,	10000,	214082,	2195,	-349,	-1.0,	2205,	-932,	-10.4,	6.76
22,	10000,	224082,	2195,	-364,	-1.5,	2205,	-1044,	-11.2,	0.58
23,	10000,	234082,	2195,	-382,	-1.8,	2205,	-1166,	-12.2,	4.06
24,	10000,	244082,	2195,	-402,	-2.0,	2205,	-1294,	-12.8,	8.39
25,	10001,	254083,	2195,	-423,	-2.1,	2205,	-1431,	-13.7,	8.06
26,	10000,	264083,	2195,	-446,	-2.3,	2205,	-1579,	-14.8,	3.11
27,	10000,	274083,	2195,	-474,	-2.8,	2205,	-1732,	-15.3,	2.4
28,	9999,	284082,	2195,	-504,	-3.0,	2205,	-1890,	-15.8,	7.26
29,	10001,	294083,	2195,	-540,	-3.6,	2205,	-2053,	-16.3,	4.27
30,	10000,	304083,	2195,	-583,	-4.3,	2205,	-2210,	-15.7,	0.43
31,	9999,	314082,	2195,	-632,	-4.9,	2205,	-2363,	-15.3,	2.78
32,	10000,	324082,	2195,	-686,	-5.4,	2205,	-2515,	-15.2,	4.78
33,	10001,	334083,	2195,	-744,	-5.8,	2205,	-2669,	-15.4,	6.04
34,	10000,	344083,	2195,	-801,	-5.7,	2205,	-2825,	-15.6,	5.11
35,	9999,	354082,	2195,	-864,	-6.3,	2205,	-2985,	-16.0,	4.85
36,	10000,	364082,	2195,	-932,	-6.8,	2205,	-3149,	-16.4,	2.26
37,	10000,	374082,	2195,	-1003,	-7.1,	2205,	-3320,	-17.1,	8.43
38,	10003,	384085,	2195,	-1075,	-7.2,	2205,	-3499,	-17.9,	5.25
39,	9997,	394082,	2195,	-1149,	-7.4,	2205,	-3682,	-18.3,	4.52
40,	10000,	404082,	2195,	-1224,	-7.5,	2205,	-3862,	-18.0,	4.34
41,	10001,	414083,	2195,	-1292,	-6.8,	2205,	-4045,	-18.3,	0.81
