index,interval(ms),time(ms),command_slave,position_slave,speed_slave,command_master,position_master,speed_master,force_slave,elapsed_time(ms),command_slave_amps,position_slave_deg,command_master_amps,position_master_deg
0,0,3228,0,-3193,-2.1,2,-4927,-2.2,0.59,0,-2.0019550342130987,-1122.5390625,-2.0,-1732.1484375
1,13,3241,0,-3728,-2.6,2,-4122,-2.7,0.41,13,-2.0019550342130987,-1310.625,-2.0,-1449.140625
2,15,3256,0,-560,-0.5,2,-508,-0.8,0.61,28,-2.0019550342130987,-196.875,-2.0,-178.59375
3,13,3269,0,-2497,-3.3,2,-3271,-1.0,0.5,41,-2.0019550342130987,-877.8515625,-2.0,-1149.9609375
4,14,3283,0,-697,-5.1,2,-2291,-6.3,0.02,55,-2.0019550342130987,-245.0390625,-2.0,-805.4296875
5,14,3297,0,-4067,-0.1,2,-4722,-1.4,0.56,69,-2.0019550342130987,-1429.8046875,-2.0,-1660.078125
6,13,3310,0,-903,-0.4,2,-1488,-4.3,0.51,82,-2.0019550342130987,-317.4609375,-2.0,-523.125
7,14,3324,0,-2367,-2.1,2,-851,-2.1,0.49,96,-2.0019550342130987,-832.1484375,-2.0,-299.1796875
8,14,3338,0,-3033,-2.8,2,-3607,-1.4,0.66,110,-2.0019550342130987,-1066.2890625,-2.0,-1268.0859375
9,14,3352,0,-3255,-5.2,2,-909,-3.6,0.68,124,-2.0019550342130987,-1144.3359375,-2.0,-319.5703125
10,13,3365,0,-4999,-3.7,2,-3292,-0.6,0.35,137,-2.0019550342130987,-1757.4609375,-2.0,-1157.34375
11,15,3380,0,-3510,-2.6,2,-2804,-5.0,0.44,152,-2.0019550342130987,-1233.984375,-2.0,-985.78125
12,14,3394,0,-2278,-1.4,2,-1451,-4.6,0.36,166,-2.0019550342130987,-800.859375,-2.0,-510.1171875
13,14,3408,0,-3147,-6.3,2,-2592,-1.2,0.62,180,-2.0019550342130987,-1106.3671875,-2.0,-911.25
14,14,3422,0,-4702,-2.9,2,-1365,-5.7,0.28,194,-2.0019550342130987,-1653.046875,-2.0,-479.8828125
15,14,3436,0,-186,-0.7,2,-464,-1.5,0.48,208,-2.0019550342130987,-65.390625,-2.0,-163.125
16,13,3449,0,-885,-4.6,2,-4371,-4.9,0.21,221,-2.0019550342130987,-311.1328125,-2.0,-1536.6796875
17,15,3464,0,-805,-4.5,2,-4596,-3.9,0.58,236,-2.0019550342130987,-283.0078125,-2.0,-1615.78125
18,14,3478,0,-2812,-2.7,2,-495,-6.8,0.22,250,-2.0019550342130987,-988.59375,-2.0,-174.0234375
19,13,3491,0,-3434,-6.4,2,-4663,-5.2,0.31,263,-2.0019550342130987,-1207.265625,-2.0,-1639.3359375
20,15,3506,0,-3499,-6.3,2,-1129,-3.2,0.27,278,-2.0019550342130987,-1230.1171875,-2.0,-396.9140625
21,14,3520,0,-642,-0.3,2,-2603,-1.6,0.37,292,-2.0019550342130987,-225.703125,-2.0,-915.1171875
22,13,3533,0,-3391,-1.9,2,-255,-4.5,0.1,305,-2.0019550342130987,-1192.1484375,-2.0,-89.6484375
23,15,3548,0,-3702,-6.8,2,-4601,-1.2,0.24,320,-2.0019550342130987,-1301.484375,-2.0,-1617.5390625
24,13,3561,0,-4740,-0.3,2,-3406,-2.2,0.35,333,-2.0019550342130987,-1666.40625,-2.0,-1197.421875
25,14,3575,0,-4032,-5.7,2,-470,-1.4,0.4,347,-2.0019550342130987,-1417.5,-2.0,-165.234375
26,15,3590,0,-2058,-2.5,2,-2918,-4.8,0.2,362,-2.0019550342130987,-723.515625,-2.0,-1025.859375
27,13,3603,0,-1179,-5.5,2,-288,-2.9,0.12,375,-2.0019550342130987,-414.4921875,-2.0,-101.25
28,14,3617,0,-1410,-1.9,2,-262,-2.3,0.53,389,-2.0019550342130987,-495.703125,-2.0,-92.109375
29,15,3632,0,-210,-1.0,2,-4321,-6.5,0.41,404,-2.0019550342130987,-73.828125,-2.0,-1519.1015625
30,13,3645,0,-2028,-4.2,2,-905,-1.1,0.07,417,-2.0019550342130987,-712.96875,-2.0,-318.1640625
31,14,3659,0,-4777,-4.1,2,-3240,-2.5,0.58,431,-2.0019550342130987,-1679.4140625,-2.0,-1139.0625
32,15,3674,0,-3877,-1.4,2,-4187,-4.0,0.28,446,-2.0019550342130987,-1363.0078125,-2.0,-1471.9921875
33,13,3687,0,-906,-2.0,2,-2156,-3.4,0.47,459,-2.0019550342130987,-318.515625,-2.0,-757.96875
34,14,3701,0,-4774,-0.6,2,-3637,-0.2,0.62,473,-2.0019550342130987,-1678.359375,-2.0,-1278.6328125
35,14,3715,0,-410,-5.0,2,-4841,-3.7,0.34,487,-2.0019550342130987,-144.140625,-2.0,-1701.9140625
36,14,3729,0,-2615,-4.3,2,-4728,-0.1,0.36,501,-2.0019550342130987,-919.3359375,-2.0,-1662.1875
37,14,3743,0,-2615,-5.4,2,-115,-3.7,0.59,515,-2.0019550342130987,-919.3359375,-2.0,-40.4296875
38,14,3757,0,-1856,-5.2,2,-4265,-4.5,0.37,529,-2.0019550342130987,-652.5,-2.0,-1499.4140625
39,14,3771,0,-1466,-6.8,2,-3989,-0.1,0.49,543,-2.0019550342130987,-515.390625,-2.0,-1402.3828125
40,14,3785,0,-4756,-1.5,2,-1182,-1.4,0.37,557,-2.0019550342130987,-1672.03125,-2.0,-415.546875
41,14,3799,0,-3185,-3.9,2,-4967,-0.1,0.26,571,-2.0019550342130987,-1119.7265625,-2.0,-1746.2109375
42,14,3813,0,-447,-5.3,2,-4175,-1.0,0.06,585,-2.0019550342130987,-157.1484375,-2.0,-1467.7734375
43,14,3827,0,-4789,-2.2,2,-1623,-0.9,0.67,599,-2.0019550342130987,-1683.6328125,-2.0,-570.5859375
44,14,3841,0,-2665,-0.2,2,-2005,-2.4,0.16,613,-2.0019550342130987,-936.9140625,-2.0,-704.8828125
45,14,3855,0,-2561,-0.6,2,-669,-0.4,0.14,627,-2.0019550342130987,-900.3515625,-2.0,-235.1953125
46,14,3869,0,-1128,-2.0,2,-4906,-5.6,0.27,641,-2.0019550342130987,-396.5625,-2.0,-1724.765625
47,14,3883,0,-211,-0.3,2,-1985,-2.7,0.21,655,-2.0019550342130987,-74.1796875,-2.0,-697.8515625
48,14,3897,0,-4320,-4.5,2,-3145,-2.4,0.4,669,-2.0019550342130987,-1518.75,-2.0,-1105.6640625
49,14,3911,0,-1498,-5.4,2,-1892,-6.1,0.34,683,-2.0019550342130987,-526.640625,-2.0,-665.15625
50,13,3924,0,-2156,-5.2,2,-4192,-3.3,0.4,696,-2.0019550342130987,-757.96875,-2.0,-1473.75
51,15,3939,0,-151,-2.7,2,-4269,-4.9,0.2,711,-2.0019550342130987,-53.0859375,-2.0,-1500.8203125
52,14,3953,0,-4581,-3.5,2,-2991,-7.0,0.65,725,-2.0019550342130987,-1610.5078125,-2.0,-1051.5234375
53,13,3966,0,-4777,-4.6,2,-1740,-3.3,0.52,738,-2.0019550342130987,-1679.4140625,-2.0,-611.71875
54,15,3981,0,-2683,-3.5,2,-800,-1.4,0.36,753,-2.0019550342130987,-943.2421875,-2.0,-281.25
55,14,3995,0,-4403,-6.2,2,-2296,-7.0,0.64,767,-2.0019550342130987,-1547.9296875,-2.0,-807.1875
56,13,4008,0,-3024,-6.8,2,-1446,-0.3,0.33,780,-2.0019550342130987,-1063.125,-2.0,-508.359375
57,15,4023,0,-1619,-2.2,2,-2935,-6.2,0.09,795,-2.0019550342130987,-569.1796875,-2.0,-1031.8359375
58,14,4037,0,-1791,-4.1,2,-1447,-0.7,0.24,809,-2.0019550342130987,-629.6484375,-2.0,-508.7109375
59,13,4050,0,-393,-0.7,2,-4678,-5.5,0.19,822,-2.0019550342130987,-138.1640625,-2.0,-1644.609375
60,15,4065,0,-4947,-4.6,2,-370,-2.4,0.01,837,-2.0019550342130987,-1739.1796875,-2.0,-130.078125
61,13,4078,0,-4556,-3.0,2,-4715,-4.4,0.03,850,-2.0019550342130987,-1601.71875,-2.0,-1657.6171875
62,14,4092,0,-1845,-2.7,2,-4443,-3.4,0.69,864,-2.0019550342130987,-648.6328125,-2.0,-1561.9921875
63,15,4107,0,-1734,-1.3,2,-3289,-2.2,0.37,879,-2.0019550342130987,-609.609375,-2.0,-1156.2890625
64,13,4120,0,-181,-5.3,2,-1867,-0.9,0.68,892,-2.0019550342130987,-63.6328125,-2.0,-656.3671875
65,14,4134,0,-1238,-0.7,2,-3803,-4.9,0.63,906,-2.0019550342130987,-435.234375,-2.0,-1336.9921875
66,15,4149,0,-4411,-1.7,2,-1123,-4.6,0.04,921,-2.0019550342130987,-1550.7421875,-2.0,-394.8046875
67,13,4162,0,-3800,-3.6,2,-1040,-5.5,0.58,934,-2.0019550342130987,-1335.9375,-2.0,-365.625
68,14,4176,0,-4520,-2.0,2,-45,-3.4,0.59,948,-2.0019550342130987,-1589.0625,-2.0,-15.8203125
69,15,4191,0,-3762,-3.0,2,-74,-6.5,0.28,963,-2.0019550342130987,-1322.578125,-2.0,-26.015625
70,13,4204,0,-3887,-4.6,2,-407,-4.0,0.49,976,-2.0019550342130987,-1366.5234375,-2.0,-143.0859375
71,14,4218,0,-1582,-6.3,2,-2415,-3.1,0.05,990,-2.0019550342130987,-556.171875,-2.0,-849.0234375
72,14,4232,0,-3437,-2.8,2,-4083,-3.7,0.62,1004,-2.0019550342130987,-1208.3203125,-2.0,-1435.4296875
73,14,4246,0,-2033,-3.3,2,-4731,-1.5,0.28,1018,-2.0019550342130987,-714.7265625,-2.0,-1663.2421875
74,14,4260,0,-527,-3.7,2,-3252,-5.5,0.39,1032,-2.0019550342130987,-185.2734375,-2.0,-1143.28125
75,15,4275,0,-1541,-4.4,2,-1070,-1.6,0.49,1047,-2.0019550342130987,-541.7578125,-2.0,-376.171875
76,13,4288,0,-4027,-6.7,2,-3103,-7.0,0.34,1060,-2.0019550342130987,-1415.7421875,-2.0,-1090.8984375
77,14,4302,0,-4769,-5.0,2,-4797,-2.0,0.59,1074,-2.0019550342130987,-1676.6015625,-2.0,-1686.4453125
78,15,4317,0,-2467,-6.2,2,-2997,-3.4,0.44,1089,-2.0019550342130987,-867.3046875,-2.0,-1053.6328125
79,13,4330,0,-1066,-2.0,2,-121,-0.8,0.53,1102,-2.0019550342130987,-374.765625,-2.0,-42.5390625
80,14,4344,0,-1451,-0.8,2,-3751,-0.9,0.1,1116,-2.0019550342130987,-510.1171875,-2.0,-1318.7109375
81,15,4359,0,-4121,-2.7,2,-30,-2.0,0.56,1131,-2.0019550342130987,-1448.7890625,-2.0,-10.546875
82,13,4372,0,-1350,-5.9,2,-1771,-1.2,0.1,1144,-2.0019550342130987,-474.609375,-2.0,-622.6171875
83,14,4386,0,-4701,-4.0,2,-4379,-5.4,0.49,1158,-2.0019550342130987,-1652.6953125,-2.0,-1539.4921875
84,15,4401,0,-1756,-5.2,2,-2304,-3.9,0.28,1173,-2.0019550342130987,-617.34375,-2.0,-810.0
85,14,4415,0,-3440,-6.2,2,-1249,-6.0,0.18,1187,-2.0019550342130987,-1209.375,-2.0,-439.1015625
86,13,4428,0,-449,-5.9,2,-2795,-2.0,0.44,1200,-2.0019550342130987,-157.8515625,-2.0,-982.6171875
87,15,4443,0,-726,-4.1,2,-4587,-1.0,0.12,1215,-2.0019550342130987,-255.234375,-2.0,-1612.6171875
88,14,4457,0,-2988,-3.7,2,-212,-6.3,0.23,1229,-2.0019550342130987,-1050.46875,-2.0,-74.53125
89,13,4470,0,-3450,-5.6,2,-805,-6.3,0.5,1242,-2.0019550342130987,-1212.890625,-2.0,-283.0078125
90,15,4485,0,-4310,-3.4,2,-2590,-3.7,0.52,1257,-2.0019550342130987,-1515.234375,-2.0,-910.546875
91,14,4499,0,-435,-5.0,2,-1258,-2.7,0.57,1271,-2.0019550342130987,-152.9296875,-2.0,-442.265625
92,13,4512,0,-2693,-4.9,2,-90,-5.0,0.42,1284,-2.0019550342130987,-946.7578125,-2.0,-31.640625
93,15,4527,0,-1873,-6.9,2,-2213,-0.6,0.33,1299,-2.0019550342130987,-658.4765625,-2.0,-778.0078125
94,14,4541,0,-3359,-1.3,2,-4652,-1.8,0.46,1313,-2.0019550342130987,-1180.8984375,-2.0,-1635.46875
95,13,4554,0,-4026,-3.5,2,-3627,-1.0,0.08,1326,-2.0019550342130987,-1415.390625,-2.0,-1275.1171875
96,15,4569,0,-761,-2.6,2,-3695,-0.1,0.35,1341,-2.0019550342130987,-267.5390625,-2.0,-1299.0234375
97,14,4583,0,-811,-4.4,2,-644,-4.6,0.3,1355,-2.0019550342130987,-285.1171875,-2.0,-226.40625
98,13,4596,0,-4102,-5.8,2,-3280,-6.4,0.32,1368,-2.0019550342130987,-1442.109375,-2.0,-1153.125
99,15,4611,0,-1133,-5.8,2,-3061,-2.2,0.22,1383,-2.0019550342130987,-398.3203125,-2.0,-1076.1328125
